word,品詞,意味,頻出度,example_en,example_ja
population,名詞,人口,,,
purpose,名詞,目的,,,
behavior,名詞,行動,,,
lack,名詞,不足,,,
skill,名詞,技術,,,
quality,名詞,質,,,
environment,名詞,環境,,,
role,名詞,役割,,,
attitude,名詞,態度,,,
author,名詞,筆写,,,
research,名詞,研究,,,
opportunity,名詞,機械,,,
source,名詞,源,,,
carbon,名詞,炭素,,,
shape,名詞,形,,,
advantage,名詞,利点,,,
method,名詞,方法,,,
habit,名詞,習慣,,,
detail,名詞,細部,,,
distance,名詞,距離,,,
crowd,名詞,群衆,,,
instance,名詞,例,,,
desire,名詞,願望,,,
standard,名詞,水準,,,
task,名詞,仕事,,,
generation,名詞,世代,,,
responsibility,名詞,責任,,,
experiment,名詞,実験,,,
athlete,名詞,運動選手,,,
decade,名詞,10年,,,
loss,名詞,損失,,,
fever,名詞,熱,,,
theory,名詞,理論,,,
statement,名詞,記述,,,
professor,名詞,教授,,,
function,名詞,機能,,,
surface,名詞,表面,,,
envelope,名詞,封筒,,,
organization,名詞,組織,,,
policy,名詞,政策,,,
resource,名詞,資源,,,
contrast,名詞,対比,,,
flood,名詞,香水,,,
mate,名詞,連れ合い,,,
goods,名詞,商品,,,
creature,名詞,動物,,,
structure,名詞,構造,,,
tradition,名詞,伝統,,,
weight,名詞,体重,,,
charity,名詞,慈善,,,
citizen,名詞,市民,,,
impression,名詞,印象,,,
cartoon,名詞,漫画,,,
career,名詞,経歴,,,
site,名詞,用地,,,
passenger,名詞,乗客,,,
violence,名詞,暴力,,,
income,名詞,所得,,,
temperature,名詞,気温,,,
majority,名詞,大多数,,,
origin,名詞,起源,,,
literature,名詞,文学,,,
equipment,名詞,設備,,,
stranger,名詞,見知らぬ人,,,
strength,名詞,強さ,,,
planet,名詞,惑星,,,
fiction,名詞,小説,,,
religion,名詞,宗教,,,
pollution,名詞,汚染,,,
wealth,名詞,富,,,
document,名詞,文章,,,
profit,名詞,儲け,,,
technique,名詞,技術,,,
emotion,名詞,感情,,,
phenomenon,名詞,現象,,,
horror,名詞,恐怖,,,
ladder,名詞,はしご,,,
billion,名詞,10億,,,
status,名詞,地位,,,
youth,名詞,若者,,,
confidence,名詞,地震,,,
edge,名詞,周辺,,,
household,名詞,家庭,,,
scholar,名詞,学者,,,
survey,名詞,調査,,,
vocabulary,名詞,語彙,,,
enemy,名詞,敵,,,
construction,名詞,建設,,,
lecture,名詞,講義,,,
instruction,名詞,指示,,,
crisis,名詞,危機,,,
instrument,名詞,道具,,,
crop,名詞,作物,,,
weapon,名詞,兵器,,,
device,名詞,装置,,,
path,名詞,道,,,
earthquake,名詞,地震,,,
stream,名詞,小川,,,
notion,名詞,概念,,,
yard,名詞,庭,,,
victim,名詞,犠牲者,,,
fuel,名詞,燃料,,,
ancestor,名詞,祖先,,,
soil,名詞,土壌,,,
debate,名詞,討論,,,
crime,名詞,犯罪,,,
colleague,名詞,同僚,,,
shelf,名詞,棚,,,
analysis,名詞,分析,,,
universe,名詞,宇宙,,,
electricity,名詞,電気,,,
insect,名詞,昆虫,,,
web,名詞,巣,,,
storm,名詞,嵐,,,
plenty,名詞,十分,,,
agriculture,名詞,農業,,,
gene,名詞,遺伝子,,,
evidence,名詞,証拠,,,
consequence,名詞,結果,,,
infant,名詞,幼児,,,
leisure,名詞,暇,,,
cell,名詞,細胞,,,
talent,名詞,才能,,,
advertising,名詞,広告,,,
extend,名詞,程度,,,
garbage,名詞,ゴミ,,,
general,形容詞,一般の,,,
various,形容詞,様々な,,,
similar,形容詞,似ている,,,
complete,形容詞,完全な,,,
sharp,形容詞,急激な,,,
expensive,形容詞,高価な,,,
political,形容詞,政治的な,,,
aware,形容詞,気づいている,,,
ancient,形容詞,古代の,,,
medical,形容詞,医学の,,,
essential,形容詞,不可欠な,,,
huge,形容詞,巨大な,,,
terrible,形容詞,ひどい,,,
practical,形容詞,実用的な,,,
entire,形容詞,全体の,,,
favorite,形容詞,一番好きな,,,
comfortable,形容詞,快適な,,,
minor,形容詞,小さい,,,
typical,形容詞,典型的な,,,
ideal,形容詞,理想的な,,,
principal,形容詞,主要な,,,
appropriate,形容詞,適切な,,,
empty,形容詞,からの,,,
rapid,形容詞,急速な,,,
mental,形容詞,精神の,,,
excellent,形容詞,素晴らしい,,,
convenient,形容詞,都合がいい,,,
