word,品詞,意味,頻出度,example_en,example_ja
proceed,動詞,進む,,,
ensure,動詞,を確実にする,,,
interpret,動詞,を解釈する,,,
cease,動詞,しなくなる,,,
ban,動詞,を禁止する,,,
obey,動詞,に従う,,,
eliminate,動詞,を除去する,,,
resist,動詞,に抵抗する,,,
accompany,動詞,に同伴する,,,
commit,動詞,を犯す、をゆだねる、取り組む,,,
pursue,動詞,を追求する,,,
demonstrate,動詞,を明らかに示す,,,
bet,動詞,きっと～だと思う,,,
ruin,動詞,を台無しにする,,,
threaten,動詞,を強迫する,,,
attach,動詞,くっつける,,,
reverse,動詞,を反対にする,,,
restrict,動詞,を制限する,,,
compose,動詞,を組み立てる,,,
lean,動詞,寄りかかる,,,
substitute,動詞,を代わりに用いる,,,
trace,動詞,の跡をたどる,,,
interrupt,動詞,を妨げる,,,
confront,動詞,の前に立ちふさがる,,,
illustrate,動詞,を示す,,,
arrest,動詞,を逮捕する,,,
stimulate,動詞,を刺激する,,,
assure,動詞,を保証する,,,
consult,動詞,に相談する、を参照する,,,
depress,動詞,を憂鬱にさせる,,,
crash,動詞,激突する,,,
inspire,動詞,を奮起させる,,,
specialize,動詞,を専門にする,,,
cultivate,動詞,を栽培する,,,
fulfill,動詞,を果たす,,,
transmit,動詞,を送る、伝える,,,
found,動詞,を創立する,,,
clap,動詞,をたたく,,,
burst,動詞,破裂する,,,
bow,動詞,おじぎする,,,
dismiss,動詞,を無視する,,,
breed,動詞,を繁殖させる,,,
prohibit,動詞,を禁じる,,,
oblige,動詞,に強いる,,,
qualify,動詞,に適任である,,,
invest,動詞,を投資する,,,
grasp,動詞,を理解する,,,
collapse,動詞,崩壊する,,,
overlook,動詞,を見落とす,,,
accuse,動詞,を避難する,,,
frustrate,動詞,を欲求不満にさせる,,,
deprive,動詞,を奪う,,,
astonish,動詞,を驚嘆させる,,,
register,動詞,を登録する,,,
correspond,動詞,一致する,,,
cast,動詞,を投げる,,,
attribute,動詞,AはBのおかげだと思う,,,
neglect,動詞,を無視する,,,
starve,動詞,飢える,,,
resolve,動詞,を解決する,,,
impose,動詞,に課す、押しつける,,,
convert,動詞,を転換する,,,
scare,動詞,をおびえさせる,,,
constitute,動詞,を構成する、占める,,,
appoint,動詞,を任命する,,,
imply,動詞,を意味する,,,
assign,動詞,を割り当てる,,,
nod,動詞,うなずく,,,
elect,動詞,を選挙で選ぶ,,,
transfer,動詞,を移す、転勤する,,,
rob,動詞,を奪う,,,
capture,動詞,を捕らえる,,,
undertake,動詞,を引き受ける,,,
drown,動詞,おぼれ死ぬ,,,
split,動詞,を割る、分裂する,,,
resort,動詞,に訴える,,,
descend,動詞,下る,,,
irritate,動詞,を苛立たせる,,,
pronounce,動詞,を発音する,,,
equip,動詞,を装備させる,,,
cheat,動詞,いかさまをする,,,
emerge,動詞,現れる,,,
devote,動詞,をささげる,,,
heal,動詞,を治す、治る,,,
urge,動詞,に強く迫る、を説得する,,,
envy,動詞,をうらやむ,,,
chase,動詞,を追いかける,,,
prompt,動詞,を促す,,,
withdraw,動詞,を引っ込める、引きこもる,,,
detect,動詞,を探知する、を発見する,,,
interfere,動詞,を邪魔する,,,
kid,動詞,冗談を言う、からかう,,,
launch,動詞,を打ち上げる、を始める,,,
endanger,動詞,を危険にさらす,,,
foster,動詞,を促進する,,,
diminish,動詞,減少する、衰える,,,
spill,動詞,をこぼす,,,
infect,動詞,に感染する,,,
stem,動詞,から生じる、に由来する,,,
tap,動詞,を軽く叩く,,,
