word,品詞,意味,頻出度,example_en,example_ja
awake,形容詞,目を覚まして,A,,
aged,形容詞,年老いた,A,,
anxious,形容詞,心配して,A,,
tough,形容詞,たくましい,A,,
nuclear,形容詞,核の,A,,
legal,形容詞,合法の,A,,
curious,形容詞,好奇心が強い,A,,
civil,形容詞,一般市民の,A,,
recent,形容詞,最近の,A,,
senior,形容詞,上級の,A,,
afterward,副詞,その後,A,,
nearly,副詞,ほとんど,A,,
therefore,副詞,それゆえに,A,,
exactly,副詞,正確に,A,,
possibly,副詞,ひょっとすると,A,,
contrary,副詞,反対に,A,,
occasionally,副詞,時々,A,,
somehow,副詞,どういうわけか,A,,
seldom,副詞,めったにない,A,,
thus,副詞,それゆえ,A,,
throughout,副詞,のいたる所に,A,,
unlike,副詞,と違って,A,,
besides,副詞,に加えて,A,,
beyond,副詞,の向こうに,A,,
within,副詞,以内で,A,,
nor,副詞,もない、もまた（～し）ない,A,,
unless,副詞,しない限り,A,,
except,副詞,をのぞいて,A,,
ought,副詞,すべきである,A,,
in spite of,副詞,にもかかわらず,A,,
weather,副詞,かどうか,A,,
explain,動詞,を説明する,A,,
accept,動詞,を受け入れる,A,,
produce,動詞,を生産する,A,,
exist,動詞,存在する,A,,
express,動詞,を表現する,A,,
add,動詞,を加える,A,,
avoid,動詞,を避ける,A,,
marry,動詞,結婚する,A,,
protect,動詞,を守る,A,,
affect,動詞,影響する,,,
determine,動詞,を決定する,A,,
solve,動詞,を解決する,A,,
contain,動詞,を含んでいる,A,,
discuss,動詞,を議論する,A,,
ignore,動詞,を無視する,A,,
guess,動詞,を推測する,A,,
exchange,動詞,交換する,A,,
satisfy,動詞,を満たす,A,,
complain,動詞,苦情を言う,A,,
achieve,動詞,を達成する,A,,
enable,動詞,を可能にする,A,,
intend,動詞,するつもりだ,A,,
obtain,動詞,を得る,A,,
divide,動詞,分割する,A,,
annoy,動詞,を苛立たせる,A,,
differ,動詞,異なる,A,,
educate,動詞,を教育する,A,,
borrow,動詞,を借りる,A,,
invent,動詞,を発明する,A,,
promote,動詞,を促進する,A,,
advise,動詞,に忠告する,A,,
retire,動詞,辞める,A,,
permit,動詞,を許す,A,,
recommend,動詞,を勧める,A,,
apologize,動詞,謝る,A,,
inform,動詞,に知らせる,A,,
oppose,動詞,に反対する,A,,
trust,動詞,を信用する,A,,
select,動詞,を選ぶ,A,,
praise,動詞,を褒める,A,,
handle,動詞,に対処する,A,,
propose,動詞,を提案する,A,,
breathe,動詞,を呼吸する,A,,
criticize,動詞,を非難する,A,,
overcome,動詞,に打ち勝つ,A,,
possess,動詞,を持っている,A,,
predict,動詞,を予言する,A,,
publish,動詞,を出版する,A,,
float,動詞,浮かぶ,A,,
recall,動詞,を思い出す,A,,
explore,動詞,を探検する,A,,
pretend,動詞,振りをする,A,,
absorb,動詞,を吸収する,A,,
resemble,動詞,に似ている,A,,
tear,動詞,を引き裂く,A,,
consume,動詞,を消費する,A,,
compete,動詞,競争する,A,,
quit,動詞,をやめる,A,,
announce,動詞,を発表する,A,,
react,動詞,反応する,A,,
wander,動詞,歩き回る,A,,
text,動詞,メールを送る,A,,
generate,動詞,を生み出す,A,,
score,動詞,踊る,A,,
government,名詞,政府,A,,
knowledge,名詞,知識,A,,
nation,名詞,国,A,,
effort,名詞,努力,A,,
period,名詞,時代,A,,
