word,品詞,意味,頻出度,example_en,example_ja
sight,名詞,見ること、光景,A,,
taste,名詞,味、好み,A,,
range,名詞,範囲,A,,
appointment,名詞,約束,A,,
patient,名詞,患者,A,,
project,名詞,計画,A,,
favor,名詞,行為,A,,
appearance,名詞,外見,A,,
risk,名詞,危険,A,,
benefit,名詞,利益,A,,
resident,名詞,住民,A,,
relative,名詞,親族,A,,
region,名詞,地域,A,,
characteristic,名詞,特徴,A,,
pain,名詞,苦痛,A,,
twin,名詞,双子の一方、双生児,A,,
occasion,名詞,場合,A,,
principle,名詞,原理、原則,A,,
department,名詞,部門、学科,A,,
duty,名詞,義務、関税,A,,
scene,名詞,場面、現場,A,,
jam,名詞,渋滞、ジャム,A,,
spirit,名詞,精神,A,,
medium,名詞,手段,A,,
mass,名詞,一般大衆,A,,
audience,名詞,聴衆、観客,A,,
element,名詞,要素,A,,
climate,名詞,気候,A,,
revolution,名詞,革命,A,,
quarter,名詞,4分の1,A,,
furniture,名詞,家具,A,,
brain,名詞,脳,A,,
atmosphere,名詞,大気,A,,
property,名詞,財産,A,,
reward,名詞,報酬,A,,
security,名詞,安全,A,,
delight,名詞,大喜び,A,,
desert,名詞,砂漠,A,,
background,名詞,背景、経歴,A,,
trend,名詞,傾向,A,,
vote,名詞,投票,A,,
impact,名詞,影響,A,,
institution,名詞,機関、制度,A,,
interaction,名詞,交流,A,,
alternative,名詞,代わりのもの,A,,
harm,名詞,害,A,,
agency,名詞,機関、代理店,A,,
capacity,名詞,能力,A,,
minister,名詞,大臣,A,,
volunteer,名詞,ボランティア,A,,
access,名詞,利用する権利,A,,
quantity,名詞,量,A,,
branch,名詞,枝、支店、部門,A,,
common,形容詞,共通の、普通の,A,,
rough,形容詞,荒い、大ざっぱな,A,,
likely,形容詞,ありそうな,A,,
serious,形容詞,深刻な,A,,
particular,形容詞,ある特定の,A,,
available,形容詞,手に入る、利用できる,A,,
bilingual,形容詞,二言語仕様の,A,,
ready,形容詞,用意ができた,A,,
correct,形容詞,正しい,A,,
familiar,形容詞,熟知している,A,,
physical,形容詞,身体の,A,,
worth,形容詞,の価値がある,A,,
involved,形容詞,に関係している、参加している,A,,
fantastic,形容詞,素晴らしい,A,,
private,形容詞,個人の,A,,
obvious,形容詞,明白な,A,,
native,形容詞,母国の,A,,
complex,形容詞,複雑な,A,,
willing,形容詞,する気がある,A,,
current,形容詞,最新の,A,,
mail,形容詞,男の,A,,
proper,形容詞,適切な,A,,
capable,形容詞,する能力がある,A,,
independent,形容詞,独立した,A,,
positive,形容詞,積極的な,A,,
pleasant,形容詞,楽しい,A,,
significant,形容詞,重要な,A,,
former,形容詞,前の,A,,
chemical,形容詞,化学的な,A,,
upset,形容詞,動揺している,A,,
previous,形容詞,前の,A,,
calm,形容詞,冷静な,A,,
specific,形容詞,特定の,A,,
conscious,形容詞,意識している,A,,
superior,形容詞,よりすぐれている,A,,
efficient,形容詞,効率が良い,A,,
fundamental,形容詞,基本的な,A,,
narrow,形容詞,狭い,A,,
reasonable,形容詞,理にかなった,A,,
nervous,形容詞,神経質な,A,,
alike,形容詞,似ている,A,,
domestic,形容詞,家庭の、国内の,A,,
negative,形容詞,否定の,A,,
moral,形容詞,道徳的な,A,,
eager,形容詞,熱心な,A,,
remarkable,形容詞,素晴らしい,A,,
evil,形容詞,悪い,A,,
